,net_sqm,center_distance,metro_distance,floor,age,price+42:42
1,26.18409786440993,1286.68,204.0038172983832,22,67,96004.80455671564
1,34.86690091132422,1855.25,186.9803604183612,8,30,92473.7225680616
1,36.980708990751,692.09,111.22499920528696,24,24,98112.5199416717
1,17.445723141767346,1399.49,237.9987599600729,1,66,92118.32687438914
1,52.58764598114736,84.65,100.99639950749835,20,3,98976.65317568764
1,22.42558366057072,1901.1,218.60342087627947,6,23,91491.71410688048
1,33.033900080192495,1833.94,159.8936574103221,21,0,93381.40943538066
1,27.883480297324738,1384.89,145.1700250969186,14,12,93503.28460021505
1,69.76510032461343,640.89,130.39377534814875,12,18,98708.32354823046
1,37.79624700934454,1754.86,195.98928625734968,23,80,90417.77739342528
1,25.972248887505547,980.75,94.35125082464144,5,53,90826.72262457844
1,15.8240293703829,220.44,42.032761637271285,23,9,96201.26133417065
1,55.78965931585402,398.23,52.52441636871334,5,73,92331.74129780196
1,18.117146727205075,948.58,160.0761536578803,17,83,95406.64328151668
1,12.953612974274549,970.14,77.05468681170994,14,18,92388.24022799496
1,24.89051934537398,512.25,61.75588508254506,3,71,91176.86558217047
1,46.63392338629548,1390.39,82.43031303491377,18,41,92008.38617301692
1,39.02332910983367,1392.06,157.966329772018,7,62,93067.11075084053
1,45.29741932620586,1991.02,222.41360994297528,7,35,90377.29847303672
1,40.5689846353777,1999.52,142.8485489796779,21,31,93390.72322236332
1,47.306429617253,1452.09,244.17583119938035,1,54,91745.71269658522
1,28.354293744702368,1123.37,28.385016270061755,7,51,91118.25200844796
1,33.635286288077005,1146.35,105.4594258650723,11,82,91642.50275234925
1,55.55520827020132,661.01,50.13170749870832,20,65,94111.59723222617
1,17.640223433395327,1703.53,229.9566607179229,8,31,91784.44117198868
1,34.42418621911935,836.6,148.76193849501425,13,34,93281.3869340205
1,26.852371611205708,110.1,17.656371284845815,21,25,99134.76254566014
1,16.905755441634255,242.86,40.76552598010868,22,60,96919.52437698784
1,54.44852992803085,1835.76,120.82911261849436,1,26,88051.51092686906
1,32.07543846896682,1300.11,17.970076588803636,9,62,89539.040845918
1,38.63497643819561,1992.27,161.90869253369237,10,20,89185.12772960926
1,36.07427806176688,325.13,37.07914845519901,17,12,96514.31063241
1,45.03262177168381,821.4,135.44053403638603,20,0,98028.86044684755
1,10.989544879020086,207.55,78.79849243922057,2,85,95157.32326202642
1,51.174872216096105,730.03,46.33635912960238,20,81,94831.8213825852
1,15.640120457902512,1479.34,118.0254624712332,20,45,93512.21160154592
1,51.959961809152766,1426.65,75.97085174664538,14,43,90188.07452486396
1,31.20640957813348,1725.46,69.97789046874938,2,6,89399.44753528992
1,37.55036191153535,1141.37,200.26206976158943,1,65,94072.05953460305
1,24.182682338843968,1897.85,145.3238909124173,1,89,88488.23653910944
1,64.48834922646138,317.52,6.673084919440679,16,68,97784.60521113302
1,11.224959126271056,872.71,15.904131997503685,4,45,90623.26291215274
1,38.88293554077042,70.03,45.1772177915955,15,20,98211.38964123676
1,44.00304302766422,791.05,60.557485989301554,24,3,95728.25048326048
1,77.61982633868416,1498.58,90.0988719403162,7,61,92986.53512505454
1,31.609129644390062,1507.25,154.9976248929631,3,66,90738.4151265844
1,52.79642060870256,1097.86,39.77579079387938,11,42,91038.9489528716
1,29.55405657880599,61.9,4.161888583067256,12,33,95844.563599932
1,33.12160742448023,1935.93,195.6502935265209,23,47,93170.54148556682
1,29.50732514935721,1307.15,120.9693611191584,2,2,92580.69071157149
1,58.53883747824448,1097.05,113.85809488698906,11,8,96228.88145981904
1,28.768852117896284,1961.83,144.8485953159518,3,64,89862.53588191036
1,16.17661255466114,1450.79,112.43404170064308,20,95,89382.5868987118
1,57.13229124194944,1541.94,120.79694192297292,7,58,89065.55793487298
1,41.21376036393378,1055.15,54.30618589777731,1,62,89639.8111411432
1,41.21047459132183,1019.11,5.405769883416156,12,9,94222.22936776852
1,28.765730627304364,1639.05,156.38580711268764,1,60,89020.97626001021
1,28.33361492053257,591.86,33.17835318958691,10,3,96666.25659916952
1,29.045629965031253,118.74,33.82571277628871,2,76,94894.01406753552
1,50.38741758123072,1082.27,52.039381780837886,7,34,91117.83482963276
1,19.226670953977912,1826.01,200.79542810887685,6,57,91152.71317293402
1,31.924755547556742,1710.06,160.3545455378705,17,11,92501.88877262305
1,21.68272033864151,485.69,100.68213422716504,19,27,97690.66586307244
1,37.63857882893451,711.13,84.11878205887746,10,6,94468.83942287877
1,22.78741071436285,1034.78,58.88969545298433,17,87,91300.18515874498
1,59.972505727946974,1093.92,54.91294254090591,19,85,93231.33084993513
1,38.99367397630009,843.2,46.94551676177923,14,32,95522.52239885843
1,47.87032950833661,419.47,22.17467339363137,2,78,91615.98568236094
1,51.95295834614579,137.91,15.220167111487273,7,94,95801.14522655058
1,25.39947936217072,1542.74,80.58910796083217,15,33,91232.50633353938
1,14.948701371174591,948.91,130.44322434770936,23,46,93534.51766246423
1,28.4899824657808,1987.03,202.11582198652297,19,76,88606.09179951093
1,19.700567739365017,1031.72,16.042615686138816,2,3,91228.25528556532
1,41.00452180568925,1009.41,165.25950968977995,23,52,97312.32350660884
1,28.348236860342,1948.55,270.16395880152913,1,84,89187.46908800484
1,50.232107855997,1438.12,120.43455820938244,20,8,94336.51702888898
1,62.76054238330106,1691.53,98.70006892447287,12,54,90229.8737565949
1,38.15604713556793,520.33,99.55228634655684,4,75,92713.6167408696
1,44.99096257407486,1838.95,145.34665265134103,20,8,93347.84241402095
1,68.77090419486532,1335.34,181.30285351912136,14,75,94713.15754500836
1,31.65921698129371,1291.66,126.66314890384302,1,87,88944.27543285635
1,44.66248926852066,617.55,104.41145182418563,15,31,94419.85011756286
1,56.09680415021404,1353.19,139.6054198587201,6,61,90102.95975204885
1,50.96089483264763,1056.68,130.4298584095974,4,73,92119.29772925437
1,34.48506963730986,1882.43,169.94370103604103,22,54,92161.63983954088
1,36.096884716477376,387.52,129.03433485281272,15,72,96801.67729364157
1,36.09854486765731,1417.05,60.14654694287768,6,62,89538.15732511133
1,44.76206002170559,1022.48,140.49303540790055,8,90,90902.21097797168
1,38.7798312322504,1298.74,58.230429744292,4,11,92163.05433955764
1,41.14484872967498,1089.23,195.21175928246464,7,71,94936.5993651242
1,46.0256459998167,287.23,5.169750962012632,17,72,96151.5514841678
1,20.754129058287383,507.3,141.80410132401923,13,21,97148.86375322832
1,49.91737871883282,1511.67,210.0760395717212,3,61,89981.263381241
1,36.8734033896239,1060.64,188.8355480213285,21,11,94723.44370455074
1,33.36922637081455,33.91,48.35413291376926,19,4,100558.64963273372
1,12.660234423667752,728.36,22.49111574726488,19,73,94999.98115354237
1,27.381830890947363,1168.25,200.6457476549517,14,64,91989.77348647086
1,45.80074904264539,716.83,51.11453145243099,14,40,92890.3714987525
1,64.97119762102817,1936.97,214.45011978981967,14,32,94367.67809935182
1,21.51358855115697,877.97,126.3798983886874,9,86,93409.76923415152
1,39.5573277114855,1976.81,208.616868517304,8,9,92630.331387287
1,34.73394198594755,632.95,103.07583357832634,16,66,96833.30950521443
1,38.710254344702165,604.45,73.22177655778147,18,2,95509.4739031705
1,18.51873528000306,1299.12,61.95076047079026,7,69,90080.56626404356
1,49.55187820181022,1340.97,187.00659483435152,12,13,93268.5739043728
1,52.55314452160655,1177.2,71.21960701343173,24,75,95430.79323964972
1,61.83218477901124,528.5,40.08327298361646,19,42,95335.06086236092
1,52.74702635424181,1528.73,115.82802241391812,3,87,87808.51526872587
1,48.83771872893978,701.44,155.59278642396708,13,94,94143.3707036422
1,30.492895352891985,1455.54,164.61333785062175,18,9,95826.55993031945
1,51.47935533567053,1655.31,169.3509918120555,21,15,94797.35996421648
1,43.22425418706858,1535.65,99.7126962777342,20,23,93167.51262151085
1,22.586525054988115,109.21,36.79135956459086,9,24,94385.22773059714
1,52.059062975156486,1983.36,144.7857669671312,13,80,89472.30698502087
